id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-SC054484F7B,P02461,a2b1 complex,CO3A1_HUMAN,,curated,uniprot
CPI-SC0545E2502,P05997,a1b1 complex,CO5A2_HUMAN,,curated,uniprot
CPI-SC05565E8CE,Q14031,a10b1 complex,CO4A6_HUMAN,,curated,uniprot
CPI-SC056BF6CBB,P24821,a9b1 complex,TENA_HUMAN,,curated,uniprot
CPI-SC058845C44,P27658,a2b1 complex,CO8A1_HUMAN,,curated,uniprot
CPI-SC058F72F90,P35555,a5b1 complex,FBN1_HUMAN,,curated,uniprot
CPI-SC0592EC3D0,P32004,a5b1 complex,L1CAM_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2120661/
CPI-SC05992FDC8,P20908,a1b1 complex,CO5A1_HUMAN,,curated,uniprot
CPI-SC05A209BEC,P06734,aVb3 complex,FCER2_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/10037797/
CPI-SC05B2AA866,Q99715,a11b1 complex,COCA1_HUMAN,,curated,uniprot
CPI-SC05B6D413B,P20849,a1b1 complex,CO9A1_HUMAN,,curated,uniprot
CPI-SC05CCF815E,P08123,a2b1 complex,CO1A2_HUMAN,,curated,uniprot
CPI-SC05CE52A12,A8TX70,a11b1 complex,CO6A5_HUMAN,,curated,uniprot
CPI-SC05D87F723,A6NMZ7,a2b1 complex,CO6A6_HUMAN,,curated,uniprot
CPI-SC05D8C0EF5,Q2UY09,a10b1 complex,COSA1_HUMAN,,curated,uniprot
CPI-SC05F111D21,Q8IZC6,a11b1 complex,CORA1_HUMAN,,curated,uniprot
CPI-SC0606C6896,A8TX70,a2b1 complex,CO6A5_HUMAN,,curated,uniprot
CPI-SC060984F83,Q05707,a11b1 complex,COEA1_HUMAN,,curated,uniprot
CPI-SC061137A41,Q14031,a2b1 complex,CO4A6_HUMAN,,curated,uniprot
CPI-SC062C5C6C2,P14555,a5b1 complex,PA2GA_HUMAN,,curated,uniprot
CPI-SC062D34C2A,P19320,a9b1 complex,VCAM1_HUMAN,,curated,uniprot
CPI-SC06364D669,P02751,a4b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC063BC3DDE,P13598,aLb2 complex,ICAM2_HUMAN,,curated,uniprot
CPI-SC064937925,P01562,Type I IFNR,IFNA1_HUMAN,,curated,PMID: 9208871
CPI-SC06525B099,P32004,aVb3 complex,L1CAM_HUMAN,,curated,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2132622/"""
CPI-SC0672FBD31,P02462,a1b1 complex,CO4A1_HUMAN,,curated,uniprot
CPI-SC067433F6B,P02461,a10b1 complex,CO3A1_HUMAN,,curated,uniprot
CPI-SC0674C647E,Q01955,a11b1 complex,CO4A3_HUMAN,,curated,uniprot
CPI-SC067AD890A,P04004,aVb1 complex,VTNC_HUMAN,,curated,uniprot
CPI-SC067EE23E1,Q14055,a10b1 complex,CO9A2_HUMAN,,curated,uniprot
CPI-SC0681D30FE,P08123,a11b1 complex,CO1A2_HUMAN,,curated,uniprot
CPI-SC06873D10F,Q9UMD9,a2b1 complex,COHA1_HUMAN,,curated,uniprot
CPI-SC069F95780,P25067,a1b1 complex,CO8A2_HUMAN,,curated,uniprot
CPI-SC069F9E62C,Q2UY09,a11b1 complex,COSA1_HUMAN,,curated,uniprot
CPI-SC06ACCFA52,Q17RW2,a11b1 complex,COOA1_HUMAN,,curated,uniprot
CPI-SC06B4C6DD5,Q9UMD9,a10b1 complex,COHA1_HUMAN,,curated,uniprot
CPI-SC06E5E0C83,P12107,a1b1 complex,COBA1_HUMAN,,curated,uniprot
CPI-SC070D5A96F,P57087,a4b1 complex,JAM2_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/12070135/
CPI-SC07222A428,P08572,a2b1 complex,CO4A2_HUMAN,,curated,uniprot
CPI-SC0725E3A76,Q5TAT6,a10b1 complex,CODA1_HUMAN,,curated,uniprot
CPI-SC07312BD5C,P06734,aMb2 complex,FCER2_HUMAN,,curated,"https://www.ncbi.nlm.nih.gov/pubmed/7621072,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2143337/"
CPI-SC07375C073,P12111,a10b1 complex,CO6A3_HUMAN,,curated,uniprot
CPI-SC0755598EE,P07996,aVb3 complex,TSP1_HUMAN,,curated,uniprot
CPI-SC077B6280E,Q8IZJ0,Type III IFNR,IFNL2_HUMAN,,curated,PMID: 9208871
CPI-SC077EB8064,P01566,Type I IFNR,IFN10_HUMAN,,curated,uniprot
CPI-SC07A2679B1,P01571,Type I IFNR,IFN17_HUMAN,,curated,uniprot
CPI-SC07B4ED8C9,Q8IU54,Type III IFNR,IFNL1_HUMAN,,curated,PMID: 9208871
CPI-SC07BE7830D,P10451,a4b1 complex,OSTP_HUMAN,,curated,"PMID: 1830891, PMID: 8970045"
CPI-SC07E0348EF,A6NMZ7,a11b1 complex,CO6A6_HUMAN,,curated,uniprot
CPI-SC07E958BDE,P25940,a11b1 complex,CO5A3_HUMAN,,curated,uniprot
CPI-SC07ECBFCA7,P02452,a10b1 complex,CO1A1_HUMAN,,curated,uniprot
CPI-SC07FB88720,Q01955,a1b1 complex,CO4A3_HUMAN,,curated,uniprot
CPI-SC08067D831,P04004,a2Bb3 complex,VTNC_HUMAN,,curated,uniprot
CPI-SC0814068D9,P12110,a2b1 complex,CO6A2_HUMAN,,curated,uniprot
CPI-SC08226CD3B,Q14055,a2b1 complex,CO9A2_HUMAN,,curated,uniprot
CPI-SC083EDDA21,Q2UY09,a2b1 complex,COSA1_HUMAN,,curated,uniprot
CPI-SC0847A64D2,P02751,aVb5 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0859FAC25,Q86WN2,Type I IFNR,IFNE_HUMAN,,curated,PMID: 9208871
CPI-SC0861656EC,P12107,a11b1 complex,COBA1_HUMAN,,curated,uniprot
CPI-SC087556B01,P29400,a10b1 complex,CO4A5_HUMAN,,curated,uniprot
CPI-SC08923F7F7,Q9Y624,aLb2 complex,JAM1_HUMAN,,curated,"(PubMed:11812992, PubMed:15528364)"
CPI-SC08938BB1C,Q96P44,a10b1 complex,COLA1_HUMAN,,curated,uniprot
CPI-SC08968AFE6,O14793,TGFR_AVR2B,GDF8_HUMAN,,curated,PMID: 22710174
CPI-SC089D4762F,A8TX70,a1b1 complex,CO6A5_HUMAN,,curated,uniprot
CPI-SC08A98E7D4,Q02388,a2b1 complex,CO7A1_HUMAN,,curated,uniprot
CPI-SC08AA91C84,Q9UMD9,a1b1 complex,COHA1_HUMAN,,curated,uniprot
CPI-SC08AF9CA91,P25067,a11b1 complex,CO8A2_HUMAN,,curated,uniprot
CPI-SC08B1D5269,P25940,a10b1 complex,CO5A3_HUMAN,,curated,uniprot
CPI-SC08B2AD7C6,P02751,a5b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC08B6B74FB,P02751,a2Bb3 complex,FINC_HUMAN,,curated,uniprot
CPI-SC08BF895FC,Q5TAT6,a1b1 complex,CODA1_HUMAN,,curated,uniprot
CPI-SC08CC68F11,P27658,a11b1 complex,CO8A1_HUMAN,,curated,uniprot
CPI-SC08D8A859F,P12109,a2b1 complex,CO6A1_HUMAN,,curated,uniprot
CPI-SC08E75294D,P39059,a10b1 complex,COFA1_HUMAN,,curated,uniprot
CPI-SC08E97F7CA,P19320,a4b7 complex,VCAM1_HUMAN,,curated,uniprot
CPI-SC08F797F90,P20849,a2b1 complex,CO9A1_HUMAN,,curated,uniprot
CPI-SC090068F7B,Q969D9,TSLPR,TSLP_HUMAN,,curated,"5j11, PDB"
CPI-SC090311934,Q17RW2,a10b1 complex,COOA1_HUMAN,,curated,uniprot
CPI-SC090855C8E,P02751,aVb3 complex,FINC_HUMAN,,curated,uniprot
CPI-SC090DB3159,Q17RW2,a1b1 complex,COOA1_HUMAN,,curated,uniprot
CPI-SC091173D82,P53420,a1b1 complex,CO4A4_HUMAN,,curated,uniprot
CPI-SC091D10DFA,P01574,Type I IFNR,IFNB_HUMAN,,curated,PMID: 9208871
CPI-SC092659F65,Q14773,aLb2 complex,ICAM4_HUMAN,,curated,uniprot
CPI-SC092C3E4DF,P02751,a8b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC09458C6C0,P01569,Type I IFNR,IFNA5_HUMAN,,curated,uniprot
CPI-SC095A2C115,Q03405,aVb3 complex,UPAR_HUMAN,,curated,"https://www.ncbi.nlm.nih.gov/pubmed/11053440,https://www.ncbi.nlm.nih.gov/pubmed/15863511"
CPI-SC096929DB0,P02751,aVb1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0974B60B7,P29965,a2Bb3 complex,CD40L_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/11875495
CPI-SC0984894BC,P01137,TGFbeta receptor2,TGFB1_HUMAN,,curated,uniprot
CPI-SC0988E0218,P10451,aVb3 complex,OSTP_HUMAN,,curated,PMID: 24442579
CPI-SC098B43B5A,Q13477,a4b7 complex,MADCA_HUMAN,,curated,uniprot
CPI-SC098C06330,P01137,TGFbeta receptor1,TGFB1_HUMAN,,curated,uniprot
CPI-SC09938698A,Q6UVK1,a3b1 complex,CSPG4_HUMAN,,curated,uniprot
CPI-SC09AF1889C,P32881,Type I IFNR,IFNA8_HUMAN,,curated,uniprot
CPI-SC09C06C70F,Q96P44,a1b1 complex,COLA1_HUMAN,,curated,uniprot
CPI-SC09C0B5D08,P29400,a2b1 complex,CO4A5_HUMAN,,curated,uniprot
CPI-SC09DE07794,Q8NFW1,a2b1 complex,COMA1_HUMAN,,curated,uniprot
CPI-SC09DFB2ACA,Q14993,a10b1 complex,COJA1_HUMAN,,curated,uniprot
CPI-SC09E5431A2,P01579,Type II IFNR,IFNG_HUMAN,,curated,PMID: 9208871
CPI-SC09FDA4F45,P12109,a1b1 complex,CO6A1_HUMAN,,curated,uniprot
CPI-SC0A0532ADC,P02462,a11b1 complex,CO4A1_HUMAN,,curated,uniprot
CPI-SC0A05D3880,P04216,aMb2 complex,THY1_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/15850796
CPI-SC0A199B69E,Q03692,a10b1 complex,COAA1_HUMAN,,curated,uniprot
CPI-SC0A2FE9693,P11047,a7b1 complex,LAMC1_HUMAN,,curated,uniprot
CPI-SC0A3F146C2,Q01955,a10b1 complex,CO4A3_HUMAN,,curated,uniprot
CPI-SC0A54B5323,P12110,a11b1 complex,CO6A2_HUMAN,,curated,uniprot
CPI-SC0A58E6695,P24821,aVb3 complex,TENA_HUMAN,,curated,uniprot
CPI-SC0A68C5F13,P05019,a6b4 complex,IGF1_HUMAN,,curated,uniprot
CPI-SC0A8902C85,P02461,a11b1 complex,CO3A1_HUMAN,,curated,uniprot
CPI-SC0A8A78670,P01568,Type I IFNR,IFN21_HUMAN,,curated,uniprot
CPI-SC0A8E69BC5,P13942,a1b1 complex,COBA2_HUMAN,,curated,uniprot
CPI-SC0A9458008,P05362,aXb2 complex,ICAM1_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/16252253
CPI-SC0A9EB628A,P19320,a4b1 complex,VCAM1_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4368157/
CPI-SC0AD6D8724,Q96A83,a2b1 complex,COQA1_HUMAN,,curated,uniprot
CPI-SC0ADD7BEF0,Q14993,a2b1 complex,COJA1_HUMAN,,curated,uniprot
CPI-SC0AF90F422,P01570,Type I IFNR,IFN14_HUMAN,,curated,uniprot
CPI-SC0B066E03C,Q14031,a11b1 complex,CO4A6_HUMAN,,curated,uniprot
CPI-SC0B0AFEFF1,P05015,Type I IFNR,IFN16_HUMAN,,curated,uniprot
CPI-SC0B292AEE6,P07359,aMb2 complex,GP1BA_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2194217/
CPI-SC0B4211EFF,P01563,Type I IFNR,IFNA2_HUMAN,,curated,"3se3, PDB"
CPI-SC0B4BD965C,Q14050,a11b1 complex,CO9A3_HUMAN,,curated,uniprot
CPI-SC0B4D7E0FF,P02751,a4b7 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0B6162857,P01567,Type I IFNR,IFNA7_HUMAN,,curated,uniprot
CPI-SC0B6D68FD5,P05362,aMb2 complex,ICAM1_HUMAN,,curated,uniprot
CPI-SC0B6F1A278,P02462,a10b1 complex,CO4A1_HUMAN,,curated,uniprot
CPI-SC0B808E56A,A6NMZ7,a1b1 complex,CO6A6_HUMAN,,curated,uniprot
CPI-SC0B9199C7F,P11047,aVb3 complex,LAMC1_HUMAN,,curated,uniprot
CPI-SC0BA1D5E00,Q8NFW1,a10b1 complex,COMA1_HUMAN,,curated,uniprot
CPI-SC0BA41B0D3,Q14993,a1b1 complex,COJA1_HUMAN,,curated,uniprot
CPI-SC0BAB29E69,P00734,a2Bb3 complex,THRB_HUMAN,,curated,uniprot
CPI-SC0BC542ACC,P24821,a4b1 complex,TENA_HUMAN,,curated,uniprot
CPI-SC0BC63F8C0,P02461,a1b1 complex,CO3A1_HUMAN,,curated,uniprot
CPI-SC0BCD683D4,Q8NFW1,a11b1 complex,COMA1_HUMAN,,curated,uniprot
CPI-SC0BD4C290F,Q05707,a1b1 complex,COEA1_HUMAN,,curated,uniprot
CPI-SC0BD56F4CB,O60542,RET receptor 4,PSPN_HUMAN,,curated,uniprot
CPI-SC0BF16A11C,Q9P218,a10b1 complex,COKA1_HUMAN,,curated,uniprot
CPI-SC0C1B5BAA1,P05013,Type I IFNR,IFNA6_HUMAN,,curated,uniprot
CPI-SC0C3E2D267,P00742,aMb2 complex,FA10_HUMAN,,curated,uniprot
CPI-SC0C6B54D7A,P04216,aXb2 complex,THY1_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/15850796
CPI-SC0C8B4C056,P29965,a5b1 complex,CD40L_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3365732/
CPI-SC0C907A888,P25067,a10b1 complex,CO8A2_HUMAN,,curated,uniprot
CPI-SC0C9CBDD21,Q8IZC6,a10b1 complex,CORA1_HUMAN,,curated,uniprot
CPI-SC0CA323AE3,P13942,a11b1 complex,COBA2_HUMAN,,curated,uniprot
CPI-SC0CA7B34A5,P05997,a2b1 complex,CO5A2_HUMAN,,curated,uniprot
CPI-SC0CBC30AB7,P20849,a11b1 complex,CO9A1_HUMAN,,curated,uniprot
CPI-SC0CCF30377,Q5TAT6,a2b1 complex,CODA1_HUMAN,,curated,uniprot
CPI-SC0CE433AB8,P29400,a11b1 complex,CO4A5_HUMAN,,curated,uniprot
CPI-SC0CE6F5084,Q8IZC6,a2b1 complex,CORA1_HUMAN,,curated,uniprot
CPI-SC0CE851065,P12110,a10b1 complex,CO6A2_HUMAN,,curated,uniprot
CPI-SC0CF621D48,P02458,a11b1 complex,CO2A1_HUMAN,,curated,uniprot
CPI-SC0CFF5E19D,P02751,a11b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0D089F0A9,Q9P0W0,Type I IFNR,IFNK_HUMAN,,curated,PMID: 9208871
CPI-SC0D19BAF15,P02751,a10b1 complex,FINC_HUMAN,,curated,uniprot
CPI-SC0D2BDC009,Q5TAT6,a11b1 complex,CODA1_HUMAN,,curated,uniprot
CPI-SC0D5CFA431,P10600,TGFbeta receptor1,TGFB3_HUMAN,,curated,uniprot
CPI-SC0D6C777F2,P13942,a10b1 complex,COBA2_HUMAN,,curated,uniprot
CPI-SC0D7F33CFB,Q8IZC6,a1b1 complex,CORA1_HUMAN,,curated,uniprot
CPI-SC0D870AE49,P12111,a2b1 complex,CO6A3_HUMAN,,curated,uniprot
CPI-SC0D9B795CC,P12830,a2b1 complex,CADH1_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/12392763
CPI-SC0DA298BEC,P02458,a10b1 complex,CO2A1_HUMAN,,curated,uniprot
CPI-SC0DA5EFA18,Q14031,a1b1 complex,CO4A6_HUMAN,,curated,uniprot
CPI-SC0DAD29856,P25940,a1b1 complex,CO5A3_HUMAN,,curated,uniprot
CPI-SC0DF641DAA,P05997,a11b1 complex,CO5A2_HUMAN,,curated,uniprot
CPI-SC0DF986F22,Q03692,a11b1 complex,COAA1_HUMAN,,curated,uniprot
CPI-SC0E0C50FCA,Q05707,a2b1 complex,COEA1_HUMAN,,curated,uniprot
CPI-SC0E1037D03,P04275,aVb3 complex,VWF_HUMAN,,curated,uniprot
CPI-SC0E16B866E,P05000,Type I IFNR,IFNW1_HUMAN,,curated,PMID: 9208871
CPI-SC0E2D0DC4B,P05230,aVb3 complex,FGF1_HUMAN,,curated,uniprot
CPI-SC0E3784FFB,P11047,a2b1 complex,LAMC1_HUMAN,,curated,uniprot
CPI-SC0E4E54E13,P13942,a2b1 complex,COBA2_HUMAN,,curated,uniprot
CPI-SC0E5218AA4,Q02297,a6b4 complex,NRG1_HUMAN,,curated,uniprot
CPI-SC0E60FEE99,P01137,aVb6 complex,TGFB1_HUMAN,,curated,"5ffo, PDB"
CPI-SC0E8575642,P32942,aDb2 complex,ICAM3_HUMAN,,curated,uniprot
CPI-SC0E9C058EB,Q03405,a4b1 complex,UPAR_HUMAN,,curated,https://www.ncbi.nlm.nih.gov/pubmed/11053440
CPI-SC0EA3FC100,P39060,a1b1 complex,COIA1_HUMAN,,curated,uniprot
CPI-SC0EACF2D60,Q96A83,a1b1 complex,COQA1_HUMAN,,curated,uniprot
CPI-SC0EAF80261,O75326,a1b1 complex,SEM7A_HUMAN,,curated,PMID: 22325954
CPI-SC0EB600CAC,Q17RW2,a2b1 complex,COOA1_HUMAN,,curated,uniprot
CPI-SC0EB8DC52F,Q08722,SIRB1 complex,CD47_HUMAN,,curated,"2jjs, PDB partially"
CPI-SC0EB9D030F,Q5T4W7,RET receptor 1,ARTN_HUMAN,,curated,uniprot
CPI-SC0EC380922,P00734,aVb3 complex,THRB_HUMAN,,curated,uniprot
CPI-SC0EC4B9BBD,P05014,Type I IFNR,IFNA4_HUMAN,,curated,uniprot
CPI-SC0EC572716,P29400,a1b1 complex,CO4A5_HUMAN,,curated,uniprot
CPI-SC0ECFACED2,P12111,a11b1 complex,CO6A3_HUMAN,,curated,uniprot
CPI-SC0ED0520DD,Q16787,a3b1 complex,LAMA3_HUMAN,,curated,uniprot
CPI-SC0EEF3A379,P11047,a6b1 complex,LAMC1_HUMAN,,curated,uniprot
CPI-SC0EFCE145F,Q99983,aVb3 complex,OMD_HUMAN,,curated,uniprot
CPI-SC0F300DE24,Q99715,a2b1 complex,COCA1_HUMAN,,curated,uniprot
CPI-SC0F486460D,Q8IZI9,Type III IFNR,IFNL3_HUMAN,,curated,PMID: 9208871
CPI-SC0F4AC5AA2,P05362,aLb2 complex,ICAM1_HUMAN,,curated,uniprot
CPI-SC0F4BC2909,P12110,a1b1 complex,CO6A2_HUMAN,,curated,uniprot
CPI-SC0F516B854,P05997,a10b1 complex,CO5A2_HUMAN,,curated,uniprot
CPI-SC0F590482E,Q14055,a1b1 complex,CO9A2_HUMAN,,curated,uniprot
CPI-SC0F73E9099,P02452,a1b1 complex,CO1A1_HUMAN,,curated,uniprot
CPI-SC0F74C069F,P20849,a10b1 complex,CO9A1_HUMAN,,curated,uniprot
CPI-SC0F778DC8E,Q14050,a1b1 complex,CO9A3_HUMAN,,curated,uniprot
CPI-SC0F7E26271,P02452,a11b1 complex,CO1A1_HUMAN,,curated,uniprot
CPI-SC0F8101D41,P27658,a10b1 complex,CO8A1_HUMAN,,curated,uniprot
CPI-SC0F8D27FBC,P39059,a1b1 complex,COFA1_HUMAN,,curated,uniprot
CPI-SC0F94B2CF9,Q07092,a10b1 complex,COGA1_HUMAN,,curated,uniprot
CPI-SC0F9DD28F3,Q9BX67,aMb2 complex,JAM3_HUMAN,,curated,"https://www.ncbi.nlm.nih.gov/pubmed/16118203,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2194005/"
CPI-SC0FA79E269,P08572,a10b1 complex,CO4A2_HUMAN,,curated,uniprot
CPI-SC0FBFA176B,P12107,a2b1 complex,COBA1_HUMAN,,curated,uniprot
CPI-SC0FC645961,P25940,a2b1 complex,CO5A3_HUMAN,,curated,uniprot
CPI-SC0FDB4B6D9,O60383,TGFR_BMPR2,GDF9_HUMAN,,curated,PMID: 22710174
CPI-SC0FF018913,Q2UY09,a1b1 complex,COSA1_HUMAN,,curated,uniprot
CPI-SS00046DCF3,P54764,P98172,EPHA4_HUMAN,EFNB1_HUMAN,curated,PMID: 15114347
CPI-SS000568A0E,P06734,P20023,FCER2_HUMAN,CR2_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/16785534,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2212946/"
CPI-SS0008137B6,P52798,P54756,EFNA4_HUMAN,EPHA5_HUMAN,curated,PMID: 15114347
CPI-SS00086659A,O95407,P48023,TNF6B_HUMAN,TNFL6_HUMAN,curated,uniprot
CPI-SS00150FB64,P30511,Q8NHL6,HLAF_HUMAN,LIRB1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11169396
CPI-SS001BF66E8,P40199,P40199,CEAM6_HUMAN,CEAM6_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11590190
CPI-SS002673EFE,P41221,Q9NPG1,WNT5A_HUMAN,FZD3_HUMAN,curated,PMID: 24032637
CPI-SS003C9A532,Q04721,Q9NYJ7,NOTC2_HUMAN,DLL3_HUMAN,curated,PMID: 22353464
CPI-SS004A073E1,P04629,P20783,NTRK1_HUMAN,NTF3_HUMAN,curated,uniprot
CPI-SS004C23DCE,O14944,P00533,EREG_HUMAN,EGFR_HUMAN,curated,uniprot
CPI-SS00550260E,Q8N126,Q9NQS3,CADM3_HUMAN,PVRL3_HUMAN,curated,uniprot
CPI-SS00561BBD7,P15151,Q495A1,PVR_HUMAN,TIGIT_HUMAN,curated,"PMID: 19815499, Induces NK Cell Inhibition. Reviewed in PMID:24987108"
CPI-SS00661A3A4,Q15223,Q8N126,PVRL1_HUMAN,CADM3_HUMAN,curated,uniprot
CPI-SS006C89002,P51677,Q16663,CCR3_HUMAN,CCL15_HUMAN,curated,uniprot
CPI-SS007AA9FDE,P80370,Q9UM47,DLK1_HUMAN,NOTC3_HUMAN,curated,PMID: 22353464
CPI-SS008EB600F,P41597,P80098,CCR2_HUMAN,CCL7_HUMAN,curated,PMID: 24218476
CPI-SS008FB916C,P09038,P22455,FGF2_HUMAN,FGFR4_HUMAN,curated,uniprot
CPI-SS00AEC3818,Q99731,Q9NPB9,CCL19_HUMAN,ACKR4_HUMAN,curated,PMID: 24218476
CPI-SS00B1BEE64,P06729,P19256,CD2_HUMAN,LFA3_HUMAN,curated,Reviewed in PMID: 23602662
CPI-SS00BBA318F,Q02763,Q9Y264,TIE2_HUMAN,ANGP4_HUMAN,curated,uniprot
CPI-SS00D153A8A,Q99466,Q9NR61,NOTC4_HUMAN,DLL4_HUMAN,curated,PMID: 22353464
CPI-SS00F979E99,P32942,Q9H2X3,ICAM3_HUMAN,CLC4M_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/15795245
CPI-SS0110361CB,P01374,Q92956,TNFB_HUMAN,TNR14_HUMAN,curated,uniprot
CPI-SS0111AAD26,P29323,P98172,EPHB2_HUMAN,EFNB1_HUMAN,curated,PMID: 15114347
CPI-SS012AFC842,P21741,Q9UM73,MK_HUMAN,ALK_HUMAN,curated,uniprot
CPI-SS012B7C21D,P46531,Q9NR61,NOTC1_HUMAN,DLL4_HUMAN,curated,PMID: 22353464
CPI-SS012CCE326,P29322,P52803,EPHA8_HUMAN,EFNA5_HUMAN,curated,PMID: 15114347
CPI-SS01469637C,Q93097,Q9ULV1,WNT2B_HUMAN,FZD4_HUMAN,curated,PMID: 24032637
CPI-SS01560CA22,P14209,Q9UKJ1,CD99_HUMAN,PILRA_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/18234675
CPI-SS015E1E2C6,P16109,P28906,LYAM3_HUMAN,CD34_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/18606703
CPI-SS016EE0084,Q15116,Q9NZQ7,PDCD1_HUMAN,PD1L1_HUMAN,curated,antigen-stimulated T cells become anergic. PMID: 23954143
CPI-SS0178F5C45,P61812,Q03167,TGFB2_HUMAN,TGBR3_HUMAN,curated,uniprot
CPI-SS0179FBFD3,O00220,P50591,TR10A_HUMAN,TNF10_HUMAN,curated,uniprot
CPI-SS019C98396,O43557,Q92956,TNF14_HUMAN,TNR14_HUMAN,curated,uniprot
CPI-SS01A07768A,P15529,P78504,MCP_HUMAN,JAG1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/23086448
CPI-SS01A6823FA,P02776,P49682,PLF4_HUMAN,CXCR3_HUMAN,curated,PMID: 24218476
CPI-SS01A8F745A,P21709,P52797,EPHA1_HUMAN,EFNA3_HUMAN,curated,PMID: 15114347
CPI-SS01C2BA5C8,P41221,Q14332,WNT5A_HUMAN,FZD2_HUMAN,curated,PMID: 24032637
CPI-SS01DCC7684,O43921,Q15375,EFNA2_HUMAN,EPHA7_HUMAN,curated,PMID: 15114347
CPI-SS01E0F2D2C,Q15223,Q96NY8,PVRL1_HUMAN,PVRL4_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/22902367
CPI-SS01ECFDA18,O14798,P50591,TR10C_HUMAN,TNF10_HUMAN,curated,uniprot
CPI-SS01F67987A,P09038,P11362,FGF2_HUMAN,FGFR1_HUMAN,curated,uniprot
CPI-SS02246DA17,P49682,Q07325,CXCR3_HUMAN,CXCL9_HUMAN,curated,PMID: 24218476
CPI-SS0241A1F57,O60462,Q99985,NRP2_HUMAN,SEM3C_HUMAN,curated,uniprot
CPI-SS025C8F785,Q92478,Q9NZS2,CLC2B_HUMAN,KLRF1_HUMAN,curated,Induces NK Cell Activation. Reviewed in PMID: 24223577
CPI-SS0273C9AED,P35968,P49767,VGFR2_HUMAN,VEGFC_HUMAN,curated,uniprot
CPI-SS02770D68F,Q04721,Q9Y219,NOTC2_HUMAN,JAG2_HUMAN,curated,PMID: 22353464
CPI-SS027AFFC0E,O14931,P46379,NCTR3_HUMAN,BAG6_HUMAN,curated,activating interaction from uniprot
CPI-SS027CDEA08,Q04721,Q9NR61,NOTC2_HUMAN,DLL4_HUMAN,curated,PMID: 22353464
CPI-SS027E12A36,P21741,P23471,MK_HUMAN,PTPRZ_HUMAN,curated,PMID: 10212223
CPI-SS028688B7B,P52803,Q15375,EFNA5_HUMAN,EPHA7_HUMAN,curated,PMID: 15114347
CPI-SS0288E42FB,P25024,P80162,CXCR1_HUMAN,CXCL6_HUMAN,curated,PMID: 24218476
CPI-SS029C6E8FA,O95150,O95407,TNF15_HUMAN,TNF6B_HUMAN,curated,uniprot
CPI-SS02A170A99,P16150,Q9BZZ2,LEUK_HUMAN,SN_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11238599
CPI-SS02AFCED82,P29317,P52803,EPHA2_HUMAN,EFNA5_HUMAN,curated,PMID: 15114347
CPI-SS02B285B4D,P29322,P52798,EPHA8_HUMAN,EFNA4_HUMAN,curated,PMID: 15114347
CPI-SS02B567BC7,O60486,O75326,PLXC1_HUMAN,SEM7A_HUMAN,curated,PMID: 22325954
CPI-SS02B7540B0,P16109,Q14242,LYAM3_HUMAN,SELPL_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/19118202,https://www.ncbi.nlm.nih.gov/pubmed/9829984,https://www.ncbi.nlm.nih.gov/pubmed/12393589"
CPI-SS02C418D99,P09544,Q14332,WNT2_HUMAN,FZD2_HUMAN,curated,PMID: 24032637
CPI-SS02D18D12B,Q8N126,Q8NFZ8,CADM3_HUMAN,CADM4_HUMAN,curated,uniprot
